username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
bulatik2201_,True,False,350,180,0.5128205128205128,73,False,False,False,False,0,65.36,320.0,21.0,58.464291095790536,3418.0733333333333,3.4869544344316328,1.4,16.0,0.0,3.2532035493238562,10.583333333333334,3.8284685307209374,932608.7916666665,5630124.0,92.0,1425791.341402563,2032880949218.52,2.2222414939985566,False
devochka_demon33,True,False,420,400,0.9501187648456056,166,False,False,False,False,7,107.52,123.0,60.0,13.11843486599424,172.09333333333333,-1.8299513681264228,0.8,5.0,0.0,1.5811388300841898,2.5,1.8848518951542759,961239.6666666665,3373781.0,120.0,950638.0089604659,903712624080.3188,0.9838945554672409,False
olya_vaskina_82,True,False,357,343,0.9581005586592178,26,False,False,True,False,1,51.64,105.0,10.0,23.183830572189752,537.49,0.3945277765799039,0.96,5.0,0.0,1.3686976778431872,1.8733333333333333,1.5656252709105505,4722922.125,26172053.0,462.0,6626322.49785149,43908149845532.81,1.9773895101318084,False
rita_lashes__,True,True,4961,1006,0.20274083031035872,44,False,False,True,False,4,14.36,31.0,6.0,6.095626847721788,37.156666666666666,0.6430203468423253,0.4,2.0,0.0,0.7071067811865476,0.5000000000000001,1.443375672974064,326483.0,2154420.0,67.0,557996.3744828454,311359953936.0,2.0087005874606003,False
ayokoopa210,True,True,4128,1387,0.335916686849116,2021,False,False,False,False,6,3.92,13.0,0.0,3.2521787568746383,10.576666666666666,0.8814130700843192,0.6,6.0,0.0,1.5275252316519468,2.333333333333333,2.491256576397955,178419.54166666663,686108.0,5466.0,176986.89040741167,31324359376.08515,1.6979872305833101,False
yanapopok,True,True,460,879,1.9067245119305856,1962,False,False,False,False,159,11.56,24.0,4.0,4.8138688529428535,23.17333333333333,0.7087787551230793,0.0,0.0,0.0,0.0,0.0,0.0,133529.75,1902808.0,51.0,418999.62735629897,175560687724.71738,3.482709763044665,False
elenatrona,True,False,518,132,0.2543352601156069,3,False,False,False,False,0,16.0,17.0,15.0,1.0,1.0,0.0,0.6666666666666666,2.0,0.0,1.1547005383792517,1.3333333333333337,0.7071067811865478,21910600.0,31563567.0,12257633.0,13651356.848539928,186359543806178.0,0.0,False
uv_king_09,False,False,1629,22,0.013496932515337423,4,False,False,False,False,0,1.75,3.0,1.0,0.957427107756338,0.9166666666666666,0.4933822002181586,0.0,0.0,0.0,0.0,0.0,0.0,331410.66666666674,994009.0,51.0,573826.9923612284,329277417162.3333,0.7071067458156307,False
sharm_taxi,True,False,150,39,0.2582781456953642,5,False,False,True,False,0,2.4,3.0,0.0,1.3416407864998738,1.8,-1.4999999999999998,0.2,1.0,0.0,0.4472135954999579,0.20000000000000004,1.5,1458931.25,3150372.0,76.0,1300701.1182433816,1691823398999.5833,0.2991923864950902,False
spank2705,True,False,6552,97,0.014802380589043188,10,False,False,False,False,0,3.3,9.0,1.0,2.311805451253293,5.344444444444443,1.4924420142907355,0.1,1.0,0.0,0.31622776601683794,0.1,2.6666666666666665,402167.33333333326,942515.0,13.0,392470.5630111002,154033142830.25,-0.04286519741848063,False
sailor_arm,True,False,4264,174,0.040797186400937865,33,False,False,False,False,0,62.24,81.0,46.0,8.752523445650784,76.60666666666667,0.05910422186555206,1.56,8.0,0.0,1.9595917942265424,3.84,1.4850802951388886,2537171.125,12269300.0,174.0,3296228.428747254,10865121854481.592,1.6444997293023107,False
legalize.brisa,True,True,920,360,0.3908794788273616,14,False,False,False,False,0,53.714285714285715,82.0,30.0,16.07878952307892,258.52747252747247,0.3166923282474948,0.2857142857142857,2.0,0.0,0.6112498455021267,0.3736263736263737,1.926018198817938,108362.38461538461,520095.0,551.0,159247.5595048678,25359785208.25641,1.7798852942840868,False
a.kazhen,True,False,78,27,0.34177215189873417,5,False,False,False,False,1,3.8,11.0,1.0,4.086563348340509,16.7,1.3889087438578844,0.8,1.0,0.0,0.4472135954999579,0.2,-1.4999999999999996,41708.0,93315.0,771.0,39017.025847698846,1522328306.0,0.4263986486936795,False
dpd_belarus,True,True,4926,1763,0.3578242338136797,303,False,False,True,False,14,41.36,72.0,27.0,12.068830376911702,145.65666666666667,1.0070416755661094,0.88,6.0,0.0,1.7156145643277028,2.9433333333333334,1.705149151283029,200848.0833333333,604201.0,75256.0,119565.48352623475,14295904850.862318,1.6937204580373846,False
baikova__,True,False,2256,632,0.2800177226406735,85,False,False,False,False,5,54.36,80.0,37.0,11.643596237131096,135.57333333333335,0.32822640975217265,2.16,8.0,0.0,2.339515619382212,5.473333333333334,0.8397099920128034,372706.70833333326,1632457.0,73.0,436713.51887025626,190718697564.0417,1.2879729101701674,False
zwagdad,True,True,4235,8309,1.9615203021718604,140,False,False,False,False,0,405.84,803.0,150.0,132.9469443048617,17674.89,0.567456940818536,6.2,21.0,0.0,5.492419017761361,30.16666666666667,1.4528115281137637,290996.375,1047309.0,1303.0,233002.36131660585,54290100379.11413,1.4260125395390917,False
pro_ne_babyshky,True,True,7260,1412,0.19446357251067345,145,False,False,True,False,18,52.08,109.0,23.0,20.485604701838806,419.66,0.8689728785067908,2.0,8.0,0.0,2.309401076758503,5.333333333333333,1.1600970628841796,907588.3333333335,3885666.0,163.0,1058274.8782582812,1119945717952.5796,1.8182058770283664,False
meme_bazaar96,True,True,211,136,0.6415094339622641,29,False,False,True,False,0,21.92,183.0,4.0,39.22681905703461,1538.743333333333,3.334432588515185,0.16,2.0,0.0,0.4725815626252609,0.22333333333333333,2.9513355614264687,407088.16666666674,4489413.0,2.0,1088554.431480962,1184950750296.8406,2.8012679065426704,False
hiketop123123,True,True,4241,141,0.033239038189533235,6,False,False,False,False,0,16.333333333333332,24.0,9.0,5.00666222813829,25.066666666666666,0.08806210922878277,0.16666666666666666,1.0,0.0,0.40824829046386296,0.16666666666666669,1.7888543819998313,571876.2,699158.0,349679.0,141174.2708045627,19930174737.2,-0.7934313639729225,False
