profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,False,335,544,1.6238805970149253,182,False,False,False,False,1,67.12,132.0,27.0,21.463767920226246,460.6933333333333,0.9415118293945389,1.32,5.0,0.0,1.7009801096230763,2.893333333333333,1.2487588549319593,1501074.0833333333,13815346.0,63.0,3274101.5449100574,10719740926382.426,2.832821726761418,True
True,True,185,86137,465.6054054054054,464,False,False,False,False,5,,,,,,,,,,,,,,,,,,,True
True,True,1133,4169118,3679.7157987643423,413,False,True,True,False,8,324877.44,725702.0,63575.0,199579.67800419126,39832047872.25667,0.3081062235840856,6911.24,18892.0,1726.0,5353.705253373592,28662159.94,1.02443463489846,719902.9583333334,2658995.0,1070.0,688749.0453793103,474375247510.9112,1.1979474105674512,True
True,True,370,536,1.4486486486486487,28,False,False,False,False,2,76.88,160.0,21.0,45.98760702624132,2114.86,0.5027447098613457,3.52,16.0,0.0,4.331281565541543,18.76,1.537178005447178,5918000.708333333,18149984.0,353652.0,4913989.959061307,24147297317755.348,1.0441325127005834,True
True,True,1035,659,0.6367149758454106,187,False,False,False,False,1,104.12,187.0,53.0,30.494972263199934,929.9433333333333,0.8405275828105568,9.52,38.0,0.0,9.613878856458857,92.42666666666666,1.3564490582890913,2192021.625,8496096.0,131566.0,2339440.5760597666,5472982208914.854,1.3656535331577757,True
True,False,588,201,0.34183673469387754,147,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,282,20002,70.9290780141844,156,False,False,False,False,0,2034.56,6153.0,974.0,1200.757645544401,1441818.9233333333,1.8974627660560905,56.12,173.0,9.0,39.28243882449255,1543.11,1.3024240668435032,622372.8333333334,1657809.0,93142.0,409561.04412584123,167740248865.44928,1.2381918820044224,True
True,True,491,464,0.945010183299389,29,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,892,986,1.1053811659192825,196,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,990,1958,1.9777777777777779,659,False,False,True,False,2,107.84,203.0,44.0,40.58497258838547,1647.1399999999999,0.647495157198926,3.88,10.0,1.0,2.5219040425836985,6.36,1.044615908726533,544266.4583333334,2761149.0,23238.0,564882.4366687884,319092167256.86774,2.6748796462933484,True
True,False,1216,510,0.4194078947368421,19,False,False,False,False,0,41.26315789473684,68.0,22.0,13.194452139117486,174.093567251462,0.7283660068364441,1.5263157894736843,5.0,0.0,1.6113631583445662,2.5964912280701755,0.6471214126962248,2965349.6666666665,7450912.0,76257.0,2505852.4001756134,6279296251465.883,0.4902121469345833,True
True,True,855,20308,23.75204678362573,569,False,False,False,False,8,963.04,1917.0,406.0,353.8578433966574,125215.37333333334,1.0546264311243403,39.84,107.0,13.0,21.62691224685885,467.72333333333336,1.5785272683007616,222938.25,715857.0,62777.0,170846.9432397594,29188678014.369564,1.2732224754430244,True
True,True,1168,1547,1.3244863013698631,189,False,False,False,False,17,,,,,,,,,,,,,,,,,,,True
True,True,995,1893,1.9025125628140704,255,False,False,True,False,37,296.88,401.0,146.0,80.24043037438587,6438.526666666667,-0.6600196887425335,53.92,87.0,27.0,14.605706647289157,213.32666666666668,0.2548829498818044,323246.5,1476676.0,78705.0,376506.28941371874,141756985968.08694,2.4638122578988555,True
True,True,1601,1309,0.8176139912554653,360,False,False,True,False,19,249.28,418.0,101.0,95.0089995737246,9026.710000000001,0.1680180282477944,6.44,23.0,0.0,6.801225379787576,46.25666666666666,1.0423851280411127,553743.1666666666,2775822.0,51941.0,657767.9252724895,432658643517.2754,2.0623506945128556,True
True,True,850,972,1.143529411764706,169,False,False,True,False,8,,,,,,,,,,,,,,,,,,,True
True,True,1682,32584,19.37217598097503,650,False,False,False,False,19,3111.64,6229.0,609.0,1571.719437431503,2470301.99,0.5053759137671235,27.64,89.0,2.0,27.50739294565493,756.6566666666666,1.1651159747317408,127487.41666666667,428899.0,13895.0,113282.82885650359,12832999313.731882,1.340157089207087,True
True,False,556,209303,376.44424460431657,926,False,True,False,False,4,,,,,,,,,,,,,,,,,,,True
True,True,114,1277379,11205.078947368422,5187,False,False,True,False,0,5913.52,16966.0,1846.0,3638.088407391992,13235687.26,1.2835132162702914,48.96,262.0,5.0,53.47310850636358,2859.3733333333334,2.65218991370283,30632.75,67482.0,12451.0,15314.408507506341,234531107.9347826,0.6305218607880592,True
True,False,1102,302,0.27404718693284935,277,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,False,533,329,0.6172607879924953,37,False,False,True,False,0,,,,,,,,,,,,,,,,,,,True
True,False,489,171,0.3496932515337423,20,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,987,1113,1.127659574468085,203,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,1517,3571,2.3539881344759395,383,False,False,True,False,6,,,,,,,,,,,,,,,,,,,True
True,True,2559,182313,71.24384525205159,1899,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,268,243,0.9067164179104478,39,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,3,778,259.3333333333333,64,False,False,False,False,0,36.4,96.0,13.0,18.334848422244093,336.1666666666667,1.4800707634641959,1.24,8.0,0.0,1.9638397762207247,3.8566666666666665,1.9820904539508128,877598.875,6483458.0,4261.0,1503133.8717310438,2259411436345.1577,2.7994559991688384,True
True,True,1450,1985,1.3689655172413793,95,False,False,True,False,6,137.04,510.0,47.0,95.46311678688616,9113.206666666667,2.5987999011945107,5.4,21.0,0.0,5.986094998689324,35.833333333333336,1.3398809720573392,494828.2916666667,2109997.0,557.0,494526.3047861387,244556266125.43295,1.8636504403743221,True
True,True,374,350,0.9358288770053476,33,False,False,False,False,0,36.92,81.0,8.0,21.54630672141593,464.24333333333334,0.6445844413205895,2.76,14.0,0.0,3.84360941477322,14.773333333333333,1.6653199568065553,4717266.875,30839076.0,335149.0,6936322.2499439875,48112566355068.02,2.665383102607946,True
True,True,2152,3981,1.849907063197026,474,False,False,True,False,24,419.6,585.0,239.0,76.49291906226789,5851.166666666667,-0.2663339955638587,71.08,94.0,27.0,15.882170296698538,252.24333333333334,-0.6372761082153637,93552.16666666667,143888.0,85034.0,15880.348508569426,252185468.7536232,2.4567580827771467,True
True,True,354,30605,86.454802259887,167,False,False,False,False,9,3470.8,4984.0,1627.0,968.9828859857812,938927.8333333334,-0.0045224837817294285,22.0,61.0,3.0,14.020817855365404,196.58333333333334,1.080974950417084,546397.6666666666,1981108.0,76350.0,450984.50926463836,203387027596.6667,1.5094426913923593,True
True,True,1666,10572,6.345738295318127,1079,False,False,True,False,16,603.76,1626.0,50.0,302.80800848062125,91692.69,1.3722329251761551,33.16,131.0,5.0,24.388658566363723,594.8066666666666,2.6860240291739528,1108880.4166666667,8644637.0,102850.0,1772925.5628532749,3143265051418.6016,3.4252363233143805,True
True,True,36,10474,290.94444444444446,189,False,False,True,False,2,,,,,,,,,,,,,,,,,,,True
