username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,recently_removed,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
cestmafournee,True,129,855,42597,49.82105263157895,388,False,False,False,False,27,False,1950.92,3698.0,821.0,739.7804246306242,547275.0766666667,0.762989628552811,113.24,409.0,32.0,73.19510457218661,5357.5233333333335,2.7423691097741836,563170.7083333334,2297966.0,36090.0,629645.407069344,396453338643.5199,1.499081588516002,True
federicabonanno98,True,0,863,1126,1.3047508690614136,348,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
lechocolatdanstousnosetats,True,140,352,46026,130.7556818181818,4143,False,False,True,False,134,False,1023.6,4193.0,319.0,934.0246695528622,872402.0833333334,2.241809881309044,14.44,33.0,4.0,8.817974068155717,77.75666666666667,0.7888929371500008,51994.125,109706.0,16428.0,28459.45746574529,809940719.2445652,0.2994831878799035,True
rei_beja,True,109,643,331,0.5147744945567652,26,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
bahiaportocesareo,True,148,6910,70171,10.154992764109986,514,False,False,True,False,3,False,281.0,578.0,112.0,129.3438569601716,16729.833333333332,0.847176060334553,2.4,11.0,0.0,2.8867513459481287,8.333333333333332,1.5209866863322634,197270.25,1380612.0,45.0,292727.1662383503,85689193853.93478,2.870785357008109,True
l_boldrini,True,8,1511,57149,37.82197220383852,564,False,True,False,False,0,False,3084.8,6325.0,658.0,1714.3873055215188,2939123.8333333335,0.3179498673924452,84.0,214.0,9.0,62.7083194905854,3932.3333333333335,0.5979264708779107,122161.83333333333,353175.0,10609.0,85685.73622288585,7342045392.057972,1.0850571228225458,True
eleonora_pian,True,32,225,471,2.0933333333333333,661,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
zachbraff,True,0,154,1272280,8261.558441558442,1914,False,True,False,False,1,False,47440.04,183604.0,5908.0,40201.04227761597,1616123800.2066665,2.0845894469569504,450.92,1993.0,44.0,475.47072465084534,226072.40999999997,1.9202969859585126,248439.125,878320.0,2806.0,270202.23934583785,73009250147.50543,1.456303579816344,True
paolo_barle,True,56,716,884,1.23463687150838,61,False,False,True,False,3,False,130.32,329.0,49.0,82.83302481498548,6861.31,1.215881817085127,5.72,16.0,1.0,4.401893531954932,19.37666666666667,1.2385627659297722,3595900.4583333335,18915713.0,86889.0,5261035.782599386,27678497505791.13,1.894352541525883,True
sergiorossi,True,119,0,1153889,1153889.0,2560,False,True,True,False,17,False,3149.0,12291.0,554.0,2628.5294684797936,6909167.166666667,1.8331998316092353,15.72,59.0,1.0,14.26978159141431,203.6266666666667,1.4151831466190352,85694.25,90509.0,76913.0,2844.4969334396947,8091162.804347826,-1.5020006648839856,True
pasmar86,True,130,7499,14188,1.891985598079744,446,False,False,False,False,10,False,849.76,1757.0,437.0,281.72671154862115,79369.94,1.1872696252510104,51.16,95.0,14.0,19.189146237739013,368.22333333333336,0.0728232892383275,287026.25,1204395.0,24706.0,298076.51057729253,88849606157.93478,1.8403094526873989,True
thepippys,True,105,783,2613,3.3371647509578546,561,False,False,False,False,13,False,97.76,142.0,58.0,20.704830354291726,428.69,0.21081989998644005,20.96,49.0,8.0,11.381564040148437,129.54,0.91324373315221,230449.79166666666,515538.0,80798.0,122713.97930747927,15058720717.47645,0.7357616445566808,True
marklions78,True,37,84,88,1.0476190476190477,2,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
chiara_dest,True,109,385,300,0.7792207792207793,198,False,False,False,False,8,False,52.04,82.0,32.0,11.016956627550702,121.37333333333333,0.5598424762209351,2.04,10.0,0.0,2.5573423705088842,6.54,2.0447052608083633,877101.0416666666,3281137.0,64556.0,1064823.1370195374,1133848313132.1287,1.2900249836241782,True
max_brigante,True,41,1073,152952,142.54613233923578,4726,False,True,True,False,5,False,5411.88,15849.0,926.0,4199.7794319067125,17638147.276666667,0.9448286459811951,85.56,238.0,20.0,55.45725080335904,3075.5066666666667,0.8616799405190676,413361.3333333333,1638598.0,77140.0,369291.6517212574,136376324031.0145,1.8088619324496422,True
ilcuoreasud,True,55,281,523,1.8612099644128113,173,False,False,True,False,0,False,88.72,186.0,39.0,29.83499064297937,890.1266666666667,1.6447575779753734,2.16,9.0,1.0,2.211334438749598,4.89,2.176999451170739,755882.0416666666,5266971.0,83.0,1278730.3299637046,1635151256769.085,2.26090984581933,True
vannigiorenlodizo,True,1,284,154,0.5422535211267606,9,False,False,False,False,0,False,30.11111111111111,46.0,18.0,10.670572201672744,113.86111111111111,0.3971439304872458,1.4444444444444444,6.0,0.0,2.2973414586817036,5.277777777777778,1.0597276399826923,9825584.125,30738956.0,535752.0,11375655.963797584,129405548606683.55,0.9404274110840467,True
gio_quasirosso,True,81,800,64794,80.9925,196,False,False,False,False,4,False,10004.96,15622.0,3962.0,3266.5784913269727,10670535.040000001,-0.05817093046602784,90.96,260.0,12.0,60.443830674988384,3653.456666666667,1.0909581082562967,906854.5,3112801.0,175730.0,752375.1750826237,566068404080.6086,1.279081654001645,True
