profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,True,1850,544,0.293895,221,False,False,True,False,2,30.16,46,17,7.08096,50.14,-0.138429,0.16,2,0,0.553775,0.306667,3.096281,157729.041667,378131,67212,79755.964478,6361013869.780797,1.074418,False
True,True,5343,131,0.024513,9,False,False,False,False,1,5.555556,14,1,4.245913,18.027778,1.065391,0.222222,2,0,0.666667,0.444444,2.474874,4277249.75,25324807,510303,8528482.840682,72735019563812.5,2.24271,False
True,False,7144,100,0.013996,12,False,False,False,False,0,4.583333,8,1,2.151462,4.628788,-0.004635,0.083333,1,0,0.288675,0.083333,3.015113,2050085.909091,7026137,34,2035717.01158,4144143751234.891,1.429743,False
True,True,65,57,0.863636,5,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,252,162,0.640316,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,253,126,0.496063,34,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,False,3565,50,0.014021,1,False,False,False,False,0,6,6,6,NaN,NaN,0,1,1,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,661,204,0.308157,21,False,False,False,False,0,8.809524,14,5,2.522282,6.361905,0.373097,0.047619,1,0,0.218218,0.047619,4.248529,809128.55,5423646,182,1264826.938455,1599787184241.4185,2.708666,False
True,True,7499,1360,0.181333,193,False,False,True,False,11,50.52,83,26,15.022539,225.676667,0.387475,1.32,6,0,1.651262,2.726667,1.231244,277442.625,860232,1492,199255.149112,39702614447.722824,1.110687,False
True,False,6602,54,0.008178,7,False,False,False,False,0,2.285714,4,0,1.496026,2.238095,-0.197506,0.142857,1,0,0.377964,0.142857,2.041241,116453.833333,632185,11,254043.429615,64538064130.56667,1.747028,False
